url;deprecated;valid_until;valid_from;id;label_en;skos:prefLabel;label_it
http://publications.europa.eu/resource/authority/site/JRCPETT;false;;1962-11-16;JRCPETT;Petten site;;
http://publications.europa.eu/resource/authority/site/JRCSEVI;false;;2002-01-01;JRCSEVI;Expo building;;
http://publications.europa.eu/resource/authority/site/JULIUSNYERERE;false;;1958-01-01;JULIUSNYERERE;Avenida Julius Nyerere;;
http://publications.europa.eu/resource/authority/site/JUNGMANNOVA24;false;;1958-01-01;JUNGMANNOVA24;Jungmannova 24;;
http://publications.europa.eu/resource/authority/site/K1K2K3;false;;1985-01-01;K1K2K3;European Court of Auditors;;Corte dei conti europea
http://publications.europa.eu/resource/authority/site/K7;true;;1958-01-01;K7;T building;;
http://publications.europa.eu/resource/authority/site/K8;true;;1958-01-01;K8;;;
http://publications.europa.eu/resource/authority/site/K9;true;;1958-01-01;K9;Translation;;
http://publications.europa.eu/resource/authority/site/KAD;false;;1958-01-01;KAD;Konrad Adenauer;;
http://publications.europa.eu/resource/authority/site/KADASHEVSKAYA14;false;;1958-01-01;KADASHEVSKAYA14;Kadashevskaya 14;;
http://publications.europa.eu/resource/authority/site/KADENAUER3;false;;1958-01-01;KADENAUER3;Konrad Adenauer 3;;
http://publications.europa.eu/resource/authority/site/KAISERS29;false;;1997-11-10;KAISERS29;Kaiserstraße 29;;
http://publications.europa.eu/resource/authority/site/KARADZICA12;false;;1958-01-01;KARADZICA12;Karadzica 12;;
http://publications.europa.eu/resource/authority/site/KEBELE10ROOSEVELT;false;;1958-01-01;KEBELE10ROOSEVELT;Kebele 10 Roosevelt;;
http://publications.europa.eu/resource/authority/site/KEELUNG333;false;;1958-01-01;KEELUNG333;Keelung 333;;
http://publications.europa.eu/resource/authority/site/KLINGENBERG7A;false;;1958-01-01;KLINGENBERG7A;Klingenberg 7A;;
http://publications.europa.eu/resource/authority/site/KOGALNICEANU12;false;;1958-01-01;KOGALNICEANU12;Kogalniceanu 12;;
http://publications.europa.eu/resource/authority/site/KONGENSNYTORV6;false;;1958-01-01;KONGENSNYTORV6;Kongens Nytorv 6;;
http://publications.europa.eu/resource/authority/site/KORT;false;;1958-01-01;KORT;Archives;;
